,place,review,date
0,Бристоль,"Приятный персонал,большой осортимент товаров",9 сентября
1,Бристоль,Хороший магазин,13 августа
2,Бристоль,Очень хорошие продавцы хорошие обслуживание,12 мая
3,Бристоль,"Вежливый и предупредительный персонал, всегда в наличии продукция - не дорогая и довольно качественная. Напитки различные и разного объема. Алкоголь также есть выбор.",7 мая
4,Бристоль,Всё супер персонал хороший я там постоянный клиент 🙂👍,8 января
5,Бристоль,Отличный магазин напитков. Цены доступные на всю продукцию. Персонал отличный.,24 октября 2022
6,Vagon Burger,"Прекрасная и дружная атмосфера. Забота и подсказки ребят очень в тему. Место где можно не думать о том как сидеть и в какой вилкой пользоваться, а получать вкус и настроение 
Там очень своя атмосфера но она располагает",18 декабря
7,Vagon Burger,"Вообще бомба заведение! Всем советую хотя бы один раз сходить, не раз там была и ни разу не разочаровалась! Персонал приветливый, молодёжи туда особенно советую сходить это вам не кфс а всё свежее и натуральное и горячее!",12 декабря
8,Vagon Burger,Очень вкусно и приятный персонал.,4 декабря
9,Vagon Burger,"Были в этом месте на дне рождении.Хочу отметить кухню ,все что заказывали съедалось моментально, уютное место , дружелюбный персонал , оригинальный интерьер 😅Единственное,что огорчает ,мало посадочных мест ,а так все супер.",26 ноября
10,Vagon Burger,"Оставила бы -99, если бы было возможно! Пригласила нас на детский др.
1-ое, что не понравилось, раздеваешься на самом верху, около входной двери, где холодно
2-ое, сказали, можно не переобуваться…
И здесь, я поняла почему…
Помещение очень грязное, полы, стены, туалет, всё раскрашено явно не для красоты, а чтобы убрать дефекты! 
 Как в этом подвальном помещении разрешили проводить мастер класс детям, по приготовлению бургеров, мне не понятно! ЭТО ОЧЕНЬ ГРЯЗНОЕ ПОМЕЩЕНИЕ!!!!",26 ноября
11,Vagon Burger,"Отвратительное место, нам хватило зайти и выйти(((",31 августа
12,Vagon Burger,Всё вкусненько,23 августа
13,Vagon Burger,Это великолепные бургеры. Обслуживание на высоте. Обстановка норм.,24 июля
14,Vagon Burger,Дорого. Но вкусно!!!,11 июля
15,Vagon Burger,"Говорили, здесь самые вкусные бургеры. Не обманули))",18 июня
16,Vagon Burger,"Вкусные бургеры, прикольное место",11 июня
17,Vagon Burger,Топ бургеры!,11 июня
18,Vagon Burger,"Очеь понравилась обстановка! Ребята супер))) бургер по вкусу не сравнится с фаст фуда, чувствуется что к своему делу персонал относится с любовью!",23 мая
19,Vagon Burger,"Это просто лучшие бургеры на свете, сказка, каждые 2 дня из Самары приезжаю. Если бы жил даже во Владивостоке, купил бы себе самолёт, чтобы летать в Новокуйбышевск) все на высшем уровне)))) рай для вкусовых сосочков, гастрономический оргазм))) хозяину огромнейшее человеческое спасибо))))",12 мая
20,Vagon Burger,"Отличное место, и посидеть и справить день рождение ребенка. А главно- все очень вкусно",17 апреля
21,Vagon Burger,"Все супер ,обстановка и еда огонь)",19 марта
22,Vagon Burger,Отличное место с вкусной едой 👍,23 февраля
23,Vagon Burger,"Вкусная еда, приветливый персонал, довольно быстро и интересный интерьер.",16 февраля
24,Vagon Burger,Топ завидение всем жилаю сходить туда нда на ура просто пушкабомба честно говоря,14 февраля
25,Vagon Burger,Вкусно. С маком и точка не сравнится. И дешевле и вкуснее.,4 февраля
26,Vagon Burger,"Классное место. Очень привлекает ароматами! Очень вкусные бургеры. Спасибо за обслуживание, отношение к клиентам. Помещение комфортное, уютное.",30 января
27,Vagon Burger,"Очень всё вкусно, ребята молодцы. Цены не кусаются, блюда восхитительны.",8 января
28,Vagon Burger,"Заведение прикольное 
Бургеры вышка!",13 декабря 2022
29,CDEK,"Грамотный, вежливый персонал. Быстрое оформление отправки посылки. Снизила звезду за отсутствие короба S. Получается обман получателя с моей стороны. Поскольку предварительный расчет доставки на сайте был озвучен получателю. Непорядок, укомлектуйте пункты коробами данного размера.",15 декабря
30,CDEK,"Быстро, четко",6 декабря
31,CDEK,"Всё отлично! Отзывчивый, терпеливый персонал",26 ноября
32,CDEK,"Доставка хорошая, обслуживание хорошее. Для оплаты надо добавить терминал.",16 ноября
33,CDEK,"Была в сдэке 28.10.23г по адресу Дзержинского 12 сотрудница с плохим настроением не здоровается, хотя с ней поздоровалась. Не разрешила примерить вещь хотя неделю назад другая сотрудница разрешила. Научите правильно работать своих сотрудников. Сюда больше не приду",28 октября
34,CDEK,"Быстрая доставка. Отзывчивый персонал. Прежде чем отправить посылку, заранее зашла узнать сумму. Все посчитали, подобрали коробку для отправления.",27 октября
35,CDEK,Всем на все пофиг,11 сентября
36,CDEK,"Отличный персонал,посылки приходят целыми.",9 сентября
37,CDEK,"Пункт выдачи,есть камера,удобный по расположению",25 июня
38,CDEK,Быстрая доставка.,19 июня
39,CDEK,Очень вежливая сотрудница спасибо. Товар получил. вовремя пришло. Все супер 😊 впервые пользовались и не Последний раз 100%. Еще буду делать доставку через CDEK,18 мая
40,CDEK,Быстро оформляют и выдают посылки. Грамотный и вежливый персонал. Рекомендую,16 мая
41,CDEK,Быстро и качественно отслужили,4 мая
42,CDEK,Отличная служба доставки. Быстро и удобно.,1 мая
43,CDEK,"На, первый раз - прошёл регистрацию и конфликт исчерпан... Недопонимание, с продавцом отошло на второй план... Поживём увидем - время покажет... Рядом, с домом - в, целом удобно (в, шаговой доступности)... Желаю, фирме процветания и больше клиентов.. Пользуюсь, случаем поздравляю с наступающим 8 марта! Женщины - это, цветы жизни : хочется любить и лелеять всю жизнь... С, поздравлениями ваш подписчик Олег",5 марта
44,CDEK,Высокий балл ставлю за доброжелательность персонала. Внутри - обычный склад с примерочной и маленьким диванчиком. Выдача товара без проволочек и задержек,26 февраля
45,CDEK,Отлично. Одна из любимых служб.,23 февраля
46,CDEK,"Девушка на выдаче очень неприветливая, напутала мои данные и претензии мне же предъявляет, что в паспорте у меня не так записано, как у нее.",13 января
47,CDEK,"В целом обычное крупное отделение, ничем не отличающиеся от остальных. 4 звезды ставлю лишь за визуальную потрепанность данного отделения. Уш слишком отдаёт обычным складом, на который поставили ресепшен.",1 января
48,CDEK,"Быстрое обслуживание, очень корректные девочки.",26 декабря 2022
49,Exist.ru,Быстро и чётко отдали не первый уже заказ.,19 ноября
50,Exist.ru,"Купила деталь выбирала оригинал, привезли кота в мешке, подделку",10 июня
51,Exist.ru,Нет у них ничего.... Не рекомендую. И не приветливый персонал,16 мая
52,Exist.ru,"Спасибо большое ребятам за подбор,остался довольным.Теперь буду обращаться только к ним.",27 апреля
53,Exist.ru,"Трубки бросают , не компетентны",20 апреля
54,Exist.ru,"Приехал за запчастями, а офис не работает. Никакого оповещение что офис закрыт не было, как забрать заказ не знаю. Телефон горячей линии молчит.",27 марта
55,Exist.ru,"классный магазин, приятный менеджер, быстрая доставка, цены хорошие.",24 октября 2022
56,Lamoda,"Персонал *** , а так что радует недалеко от дома",16 ноября
57,Lamoda,Сотрудников надо подбирать по вежливее,9 сентября
58,Lamoda,"Очень удобная и надёжная доставка. Можно выбрать день доставки, померить в комфортных примерочных. Если по какой-то причине вещь не подошла можно без проблем отказаться от покупки.",5 сентября
59,Lamoda,"Отличный пункт самовывоза! Чистый, светлый. Девушка администратор приветлива, при мне протирала детский столик. Следит за чистотой. Молодец. Приятно получать и мерить вещи в таком пункте.",21 июня
60,Lamoda,Пункт выдачи был закрыт в рабочие часы. Заказ забрать не получилось,28 февраля
61,Lamoda,"Хороший пункт, всегда чистота. Очень приятная, вежливая девушка работает. Всё у неё чётко, быстро.",28 января
62,Lamoda,"Администратор с длинными ногтями накладными на руках, действительно, то ли жизнью не довольна, то ли людей в принципе не любит. Величия много:)",25 августа 2022
