,place,review,date
0,Мир Штор,Плохой магазин.приехал когда он должен был быть открыт но аказалось он закрыть- время в пустую,13 ноября
1,Мир Штор,"Заказ штор лето 2023года.
Спасибо за выполнение обоих заказов!!
Приимущество Мира Штор:
- внушительный выбор и штор и тюли;
- два зала для спокойного, детального просмотра, подбора тканей (вывешено во всю высоту помещения, удобство изучения товара). 
Тюль, шторы вывешены с ценниками, мастера сразу помогут определиться с бюджетом заказа, и выбором стиля/расцветки.
До выполнения заказа детально обсуждается, прорабатывается, чтобы выполнить без ошибок. 
Выполняют заказ качественно. 
Рекомендовать можно смело. 
P. S. Обрезки тканей отдают заказчику, предлагают сделать приятные мелочи к интреру, в комнату, к мебели.",9 октября
2,Мир Штор,"Заказывали шторы, остались очень довольны! С выбором помогли, подсказали, как лучше, ответили на все вопросы. Сшили очень аккуратно, в срок. Однозначно, рекомендую!",17 июля
3,Мир Штор,"Отличные сотрудники, большой выбор и на редкость адекватные цены",21 января
4,Мир Штор,"Минусы: заказали тюль высотой 2,5 метра, а по факту отдали 2,4 метра. Так что проверяйте то что Вам отдают",2 августа 2022
