,place,review,date
0,ГБОУ СОШ № 7 с углубленным изучением отдельных предметов Образовательный центр Г. О. Новокуйбышевск Самарской области,"Раньше школа была очень достойной, выпускала ребят с твердыми знаниями. Сейчас к сожалению уже не так. Много сильных учителей ушли, некоторые предметы не ведутся, учителя любят посидеть подольше на больничном или к примеру взять его и полететь в Турцию отдохнуть во время учебного года. Расписание «плавающее», как правило не знаешь чего ждать на следующий день. Оценки в АСУ РСО многие своевременно не ставят и появляются они там ближе к концу четверти. Директор школы на проблемы реагирует, но ходить постоянно и решать проблемы по каждому предмету тоже не возможно. Педагог Мазур А.С. позволяет себе хамское общение с родителями. Есть и положительные учителя, но таких мало, особенно хочется отметить педагога по истории Савенкову А.Е., про таких говорят «педагог от бога», отлично держит дисциплину на уроке, достойно ведет предмет, требовательная и это при стаже работы всего 1 год!",18 ноября
1,ГБОУ СОШ № 7 с углубленным изучением отдельных предметов Образовательный центр Г. О. Новокуйбышевск Самарской области,Хороший преподавательский состав и система обучения.Всем советую!,8 февраля
2,ГБОУ СОШ № 7 с углубленным изучением отдельных предметов Образовательный центр Г. О. Новокуйбышевск Самарской области,"Очень хорошая школа . Я в ней учусь. Здесь обучение с углубленным изучением физики и математики. Очень сильные учителя. Хорошо и понятно объясняют.
Хорошая подготовка к экзаменам.",22 апреля 2021
