,place,review,date
0,ГБОУ ООШ № 17 г. Новокуйбышевск,"Само заведение следует огородить колючей проволокой чтобы обезобразить детей от цыган и жителей поселка. Преподаватели старые и некомпетентные личности. Идеально для тех, кто ненавидит своих детей",8 октября
1,ГБОУ ООШ № 17 г. Новокуйбышевск,"Лучшая школа, спасибо директору и учителям, очень их любим 💓",26 мая
2,ГБОУ ООШ № 17 г. Новокуйбышевск,"Самая лучшая,классная школа.Активные ученики ,отзывчивые,добрые.",13 февраля
3,ГБОУ ООШ № 17 г. Новокуйбышевск,"Друзья! Видно, что школа преобразилась - сделали ремонт. Не могу сказать, какие сейчас учителя, и как преподают, но мой выпуск был в 2001 году! На тот момент преподавательский состав был супер!
Выпускники 2001 привет!",5 октября 2022
