,place,review,date
0,Экватор,"Отличные мастера.Сделали ТО кондиционера.Быстро,чисто.Молодцы!",25 июля
1,Экватор,"Установила сплит-систему. Директор Сергей подобрал нужную модель, проконсультировал чётко. Установку произвели два мастера Александра очень быстро и качественно. Всем советую!!!",11 июня
2,Экватор,"Отличные мастера! Установили сплит систему очень быстро! Важно что очень пунктуальные, весь мусор после установки за собой убрали. Не дорого по сравнению с другими компаниями. Молодцы! Рекомендую всем!!!",11 мая
3,Экватор,"Отличное качество, низкие цены, профессиональные сотрудники. В общем все супер, рекомендую к покупке именно здесь!",2 мая
4,Экватор,Лучшие кондиционеры в городе. Сергей всегда вежлив с клиентами и помогает сделать правильный выбор. Цены приемлемы. В следующий раз закажу еще раз у него.,28 апреля
5,Экватор,"Обратилась в данную организацию по отзывам в интернете. Консультировал Сергей, очень доходчиво и четко подсказал по кондиционерам, дал на выбор 3 варианта, согласовали дату просмотра и установки . Сравнила цены в интернете, были предлодложены Сергеем варианты уже со скидкой,что , конечно, порадовало. Установили в назначенный день и время. Все быстро, качественно. Объяснили как пользоваться. Работой данной компании довольна. Рекомендую.",10 апреля
6,Экватор,"Делают хорошо, но с документами облом. Должного оформления сделки не будет, кассовый чек не дадут. В случае конфликта ничего в суде не докажете. В остальном нареканий нет.",7 сентября 2022
7,За грош,"Дёшево , качественно и самое главное по пути с работы",2 декабря
8,За грош,Не развернуться и цены уже не те какие были раньше,26 июля
9,За грош,"Хороший магазин, товар расставлены как надо, продавцы вежливые. В магазине всегда чисто. Так держать!!!",16 июля
10,За грош,"Очень, классные девочки работают.👍👍👍",6 июня
11,За грош,"очень удобное расположение,часы работы,приветливые продавцы,пять баллов",2 июня
12,За грош,"Очень тесный маленький магазин. В соседстве с крупными супермаркетами, зачем? Бываю там крайне редко, хотя в непосредственной близости от дома",2 июня
13,За грош,"Хороший магазин, большой ассортимент, вежливые продавцы, очень внимательные и доброжелательные, даже к неадекватным покупателям относятся лояльно.спасибо им за все",16 марта
14,За грош,"Идеальный магазин, там всегда добрые продавцы, всегда можно уйти с хорошим настроением, да и цена её кусается 🔥🔥🔥, а самое главное это товар который можно приобрести если не хочется ходить за километры в другой магазин",9 декабря 2022
15,Анна,"Хорошее место! Была по работе в этом городе, постригли очень хорошо. Светлый, просторный зал, очень уютно и чисто.",2 декабря
16,Анна,Мне очень нравится мастер - Светлана. Хожу к ней последнее время на стрижку. Мастер своего дела - и посоветует и подскажет. Стрижет очень аккуратно. После её рук становишься просто красавицей. Всем советую пользоваться услугами этого мастера!,26 ноября 2022
17,Лаборатория Гемотест,"Очень профессиональные работники. Кровь из вены берут так, что никаких болевых ощущений.",12 декабря
18,Лаборатория Гемотест,"Хороший, вежливый и заботливый персонал, нашли подход к ребенку и взяли кровь на анализы без слез.",21 марта
19,Лаборатория Гемотест,"Нравится данная лаборатория, приветливый, квалифицированный персонал. Приемлемые цены, часто бывают скидки и акции. Сдавали кровь с трёхмесячным ребёнком, очень аккуратно, заботливо отнеслись к малышу. И ещё очень нравится, что можно сделать анализы по cito и получить результат в тот же день.",18 марта
20,Лаборатория Гемотест,"Не рекомендую. Не компетентный персонал. Привёз двух детей сдать кровь из пальца. Мучали одного ребёнка сорок минут, все пальцы издырявили, но так кровь и не взяли. Когда с одним ребёнком не получилось, говорят, ведите второго, может у него получится взять. И это за деньги. 👎",9 декабря 2022
21,Представитель компании Avon,Нет туалета,4 апреля 2020
