,place,review,date
0,Основная общеобразовательная школа № 15,"Моя любимая школа, которую я закончил в 1969 году. Помню всех своих одноклассников и учителей. Столкинер Виктор, мне уже 71 год. Желаю всем здоровья и здравомыслия.",7 июля
1,Основная общеобразовательная школа № 15,Норм,22 октября 2022
2,Основная общеобразовательная школа № 15,"Моя любимая школа, которую я закончил в 1969 году. Помню всех своих одноклассников и учителей. Столкинер Виктор, мне уже 71 год. Желаю всем здоровья и здравомыслия.",7 июля
3,Основная общеобразовательная школа № 15,Норм,22 октября 2022
