,place,review,date
47,Panini Papa,Очень красивое место . Еда очень вкусная приходила с дочкой ей больше чем мне понравилось )) прийдем еще раз,9 декабря
48,Panini Papa,"Приятное место. Обслуживание не плохое. Подача блюд не блещет. Пицца нам попалась на не солёном тесте. Но тесто хорошее, начинки много. Интерьер мне пришелся по вкусу, в целом уютное семейное место. Игровая радует. Общая оценка твердая 4.",9 декабря
49,Panini Papa,Все здорово!,9 декабря
50,Panini Papa,"Были проездом в Новокуйбышевске, решили перекусить, на пути нам попалось данное заведение. Ну, что я могу сказать: отличный ресторан,
приятный интерьер, вежливое и быстрое обслуживание. Очень вкусная кухня. Рекомендую к посещению данное заведение!",9 декабря
51,Panini Papa,Очень вкусно,9 декабря
52,Panini Papa,"Очень уютное заведение, вкусные блюда, а главное всё свежее! Приятная музыка в зале, всё очень понравилось! Вежливые официанты!",9 декабря
53,Panini Papa,"Сегодня посетили это замечательное заведение! Всё было очень вкусно, всё было свежее и горячее! Очень удобно что есть детская комната, с детьми очень удобно.",9 декабря
54,Panini Papa,Уютное вкусное место с милыми официантами! Любое торжество и просто встреча с друзьями - здесь можно отлично провести время попробовав вкуснейшие блюда,9 декабря
55,Panini Papa,"Отличное место для встреч с подругами! Уже стало традицией собираться здесь и за вкусной едой делиться новостями. Отличная кухня и обслуживание на высоте, спасибо!",9 декабря
56,Panini Papa,Очень вкусная пицца и чудесные салаты. Доброжелательные официанты,9 декабря
57,Panini Papa,Мы здесь уже не первый раз и ни разу не пожалели что пришли именно сюда!,9 декабря
58,Panini Papa,Всё вкусно и очень атмосферно! ❤,9 декабря
59,Panini Papa,Прекрасное место для отдыха. Еда особенно вкусная. Обслуживание на высшем уровне.,8 декабря
60,Panini Papa,"очень вкусно! но не особо нравится пицца, много тесто, но есть можно!! 😂 все чисто, окуратно! прекрасно! все очень добрые!!",8 декабря
61,Panini Papa,Отмечала свой юбилей в этом прекраном заведении! Приятная атмосфера и вкусная еда. Обслуживание на высоте! Официантка Анастасия- прелесть💫,8 декабря
62,Panini Papa,"Отличное заведение! Приятная атмосфера, разнообразное меню. Отлично как для семейных праздников, так и для свиданий. 
Все очень вкусно, буду приходить еще",8 декабря
63,Panini Papa,"Уютное, семейное кафе . Вежливый персонал . Вкусная и разнообразная еда. Удобное меню . Чтобы попасть туда , требуется предварительно записаться. Очень хорошо можно провести время. Рекомендую к посещению .",8 декабря
64,Panini Papa,"Самое вкусное и уютное место города❤️ вкусно пообедать, душевно провести вечер с семьей или друзьями! И всё это PANINI PAPA ❤️ мы никогда не думаем куда поехать покушать-мы всегда знаем!",8 декабря
65,Panini Papa,"Всё было очень вкусно, офицыантка девочка большая молодец, всё быстро и с пониманием, Мы довольны, придём ещё. ❤👍💐",8 декабря
66,Panini Papa,Отличный бизнес ланч,8 декабря
67,Panini Papa,"Красиво, уютно, но к сожалению не вкусно( А для невкусного - ещё и дорого. Можно поесть разве что пиццу. Не знаю, может быть они специально сыпят мало соли и специй, но вкус реально достаточно пресный.",8 декабря
68,Panini Papa,Любимое кафе! Всегда радуют вкусными блюдами и хорошим обслуживанием !🥰❤️. Официанты вежливые и приветливые !,7 декабря
