,name,geometry,addr:street,addr:housenumber,centroid,lat,lon
253,,"POLYGON ((49.9262533 53.1200198, 49.9261814 53.1199047, 49.9268516 53.119754, 49.9269249 53.1198715, 49.9268487 53.1198886, 49.9268896 53.1199542, 49.9267834 53.1199782, 49.9267133 53.1198661, 49.9264734 53.1199201, 49.92654 53.1200266, 49.9263272 53.1200745, 49.9262881 53.120012, 49.9262533 53.1200198))",,,POINT (49.92654716233552 53.11990740488747),53.11990740488747,49.92654716233552
258,,"POLYGON ((49.9398536 53.1156061, 49.9398069 53.1154383, 49.9410733 53.1153112, 49.9411201 53.115479, 49.9398536 53.1156061))",,,POINT (49.94046348143964 53.11545865045786),53.11545865045786,49.94046348143964
259,,"POLYGON ((49.9413173 53.1154346, 49.9412983 53.1153549, 49.9415051 53.1153372, 49.9415241 53.1154169, 49.9413173 53.1154346))",,,POINT (49.9414112 53.11538590000001),53.11538590000001,49.9414112
278,,"POLYGON ((49.9763699 53.088636, 49.976585 53.0885587, 49.9764608 53.0884341, 49.9761311 53.0885526, 49.9761858 53.0886076, 49.9763005 53.0885663, 49.9763699 53.088636))",,,POINT (49.97637737099395 53.08853969934737),53.08853969934737,49.97637737099395
279,,"POLYGON ((49.9767713 53.0884704, 49.97687 53.0884343, 49.9763733 53.0879448, 49.9762746 53.0879809, 49.9767713 53.0884704))",,,POINT (49.9765723 53.0882076),53.0882076,49.9765723
280,,"POLYGON ((49.9650937 53.0867982, 49.9652538 53.0867317, 49.9655209 53.0869637, 49.9653607 53.0870303, 49.9650937 53.0867982))",,,POINT (49.96530729294464 53.08688099351359),53.08688099351359,49.96530729294464
281,,"POLYGON ((49.9649731 53.086696, 49.9649353 53.0866627, 49.9648669 53.0866026, 49.9654144 53.0864164, 49.9659974 53.0867608, 49.9658559 53.0868388, 49.9653772 53.0865361, 49.9649731 53.086696))",,,POINT (49.96545523936742 53.08660880947167),53.08660880947167,49.96545523936742
289,,"POLYGON ((49.9824308 53.0865858, 49.9825164 53.0866722, 49.9823449 53.0867335, 49.9822594 53.0866471, 49.9824308 53.0865858))",,,POINT (49.98238788243754 53.08665965154027),53.08665965154027,49.98238788243754
299,,"POLYGON ((49.9845448 53.0873996, 49.9847013 53.0873359, 49.9846258 53.0872691, 49.9844694 53.0873329, 49.9845448 53.0873996))",,,POINT (49.984585343463 53.08733436701333),53.08733436701333,49.984585343463
305,,"POLYGON ((49.9815294 53.0916867, 49.9814682 53.091621, 49.9816616 53.0915487, 49.981734 53.0916185, 49.981694 53.0916334, 49.9817517 53.0916891, 49.9817985 53.0916716, 49.981881 53.0917512, 49.9817446 53.0918022, 49.9817693 53.0918261, 49.9816471 53.0918718, 49.9815778 53.0918054, 49.9816848 53.0917658, 49.9815831 53.0916668, 49.9815294 53.0916867))",,,POINT (49.98167545956521 53.091704452544775),53.091704452544775,49.98167545956521
307,,"POLYGON ((49.9794847 53.0918084, 49.9796996 53.0917277, 49.9798315 53.0918546, 49.9798629 53.0918428, 49.9799252 53.0919028, 49.9796841 53.0919934, 49.9796077 53.09192, 49.9795646 53.0919362, 49.9795308 53.0919036, 49.9795688 53.0918893, 49.9794847 53.0918084))",,,POINT (49.979694432102455 53.091862900752716),53.09186290075272,49.979694432102455
316,,"POLYGON ((49.9524606 53.0964871, 49.9525204 53.0965424, 49.9527546 53.0967585, 49.9529512 53.0969447, 49.9530167 53.0969181, 49.9528205 53.0967323, 49.9525856 53.0965138, 49.9525285 53.0964607, 49.9524606 53.0964871))",,,POINT (49.95273906558258 53.0967013055982),53.0967013055982,49.95273906558258
329,,"POLYGON ((49.9513641 53.1004128, 49.9514152 53.1003308, 49.9516739 53.1003892, 49.9516487 53.1004294, 49.9516218 53.1004707, 49.9513641 53.1004128))",,,POINT (49.951518814803855 53.10040085470439),53.10040085470439,49.951518814803855
330,,"POLYGON ((49.9505399 53.1006561, 49.9506017 53.100548, 49.9506839 53.100565, 49.9507374 53.1004716, 49.9508673 53.1004984, 49.9508125 53.1005941, 49.9509786 53.1006284, 49.9509431 53.1006905, 49.9508602 53.1006734, 49.9508352 53.100717, 49.9505399 53.1006561))",,,POINT (49.95075318467198 53.10060960705073),53.10060960705073,49.95075318467198
331,,"POLYGON ((49.9504579 53.1007981, 49.9505123 53.100709, 49.9508722 53.1007883, 49.9508507 53.1008235, 49.951327 53.1009283, 49.951294 53.1009822, 49.9504579 53.1007981))",,,POINT (49.95084614928245 53.100841936235135),53.100841936235135,49.95084614928245
332,Водяная башня,"POLYGON ((49.9841596 53.1017122, 49.9842478 53.1016579, 49.9841574 53.1016049, 49.9840692 53.1016592, 49.9841596 53.1017122))",,,POINT (49.9841585 53.10165855),53.10165855,49.9841585
334,,"POLYGON ((49.9477504 53.0976465, 49.9478075 53.0972949, 49.9479283 53.0973019, 49.9480437 53.0973087, 49.9480938 53.0973116, 49.9480367 53.0976633, 49.9477504 53.0976465))",,,POINT (49.947922104873086 53.09747907062492),53.09747907062492,49.947922104873086
349,,"POLYGON ((49.9760663 53.0933237, 49.976154 53.0932945, 49.9762446 53.0933927, 49.9761569 53.0934219, 49.9760663 53.0933237))",,,POINT (49.97615545 53.0933582),53.0933582,49.97615545
366,,"POLYGON ((49.9752299 53.0915967, 49.9753649 53.0915466, 49.9753108 53.091494, 49.9751757 53.0915441, 49.9752299 53.0915967))",,,POINT (49.97527031683836 53.091545349782045),53.091545349782045,49.97527031683836
371,,"POLYGON ((49.9658678 53.0860177, 49.9659316 53.0859583, 49.9657361 53.0858825, 49.9653295 53.0862605, 49.9654163 53.0862942, 49.9657591 53.0859755, 49.9658678 53.0860177))",,,POINT (49.965620421142674 53.08606839671738),53.08606839671738,49.965620421142674
372,,"POLYGON ((49.9652493 53.0863156, 49.9653236 53.0862681, 49.9660856 53.0866971, 49.9660114 53.0867446, 49.9652493 53.0863156))",,,POINT (49.965667434534254 53.08650632773903),53.08650632773903,49.965667434534254
373,,"POLYGON ((49.9655307 53.0862611, 49.9655896 53.086224, 49.9655581 53.0862061, 49.9656352 53.0861575, 49.9663167 53.0865475, 49.9661808 53.0866331, 49.9655307 53.0862611))",,,POINT (49.96591539314735 53.086398595169726),53.086398595169726,49.96591539314735
374,,"POLYGON ((49.9657709 53.0861197, 49.9664451 53.0864919, 49.9665749 53.0864071, 49.965936 53.0860544, 49.9658753 53.086094, 49.96584 53.0860745, 49.9657709 53.0861197))",,,POINT (49.96618003693712 53.086268388430966),53.086268388430966,49.96618003693712
375,,"POLYGON ((49.9665373 53.0863128, 49.9666371 53.0862485, 49.9666984 53.0862829, 49.9665987 53.0863471, 49.9665373 53.0863128))",,,POINT (49.96661787236471 53.086297818702434),53.086297818702434,49.96661787236471
376,,"POLYGON ((49.9663099 53.0861992, 49.9664516 53.0862747, 49.9665681 53.0861958, 49.9664264 53.0861203, 49.9663099 53.0861992))",,,POINT (49.966439 53.08619749999999),53.08619749999999,49.966439
377,,"POLYGON ((49.9660898 53.0861106, 49.9661648 53.0861492, 49.9662932 53.0860592, 49.9661406 53.0859806, 49.9660603 53.0860369, 49.9661379 53.0860769, 49.9660898 53.0861106))",,,POINT (49.96617096961634 53.086062824556095),53.086062824556095,49.96617096961634
378,,"POLYGON ((49.9660557 53.0858486, 49.9661454 53.0858963, 49.9667698 53.0854728, 49.9671136 53.0856556, 49.966516 53.086061, 49.9666674 53.0861415, 49.9673382 53.0856865, 49.9667533 53.0853754, 49.9660557 53.0858486))",,,POINT (49.96677597986222 53.08575063697478),53.08575063697478,49.96677597986222
379,,"POLYGON ((49.9662414 53.0859373, 49.9663869 53.086013, 49.9669703 53.0856089, 49.9668248 53.0855331, 49.9662414 53.0859373))",,,POINT (49.96660587582496 53.08577305503144),53.08577305503144,49.96660587582496
380,,"POLYGON ((49.9667627 53.0861685, 49.9668508 53.0862152, 49.9675265 53.0857559, 49.9674385 53.0857092, 49.9667627 53.0861685))",,,POINT (49.96714458860084 53.08596222416421),53.08596222416421,49.96714458860084
381,,"POLYGON ((49.9670894 53.0854548, 49.9671819 53.0853987, 49.9676462 53.0856747, 49.9675537 53.0857308, 49.9670894 53.0854548))",,,POINT (49.9673678 53.085564749999996),53.08556475,49.9673678
382,,"POLYGON ((49.9675609 53.085944, 49.9678365 53.0857648, 49.9679903 53.0858501, 49.9677147 53.0860293, 49.9675609 53.085944))",,,POINT (49.9677756 53.08589705000001),53.08589705000001,49.9677756
383,,"POLYGON ((49.9678263 53.0860234, 49.9680381 53.0858857, 49.9681849 53.0859671, 49.9679731 53.0861048, 49.9678263 53.0860234))",,,POINT (49.9680056 53.08599525000001),53.08599525000001,49.9680056
384,,"POLYGON ((49.968078 53.0860976, 49.968237 53.0859942, 49.9684198 53.0860957, 49.9683342 53.0861513, 49.9683085 53.0861371, 49.9682351 53.0861848, 49.968078 53.0860976))",,,POINT (49.968246410834624 53.08609167905365),53.08609167905365,49.968246410834624
385,,"POLYGON ((49.9679936 53.0855477, 49.968084 53.0855978, 49.9679566 53.0856806, 49.9686278 53.086053, 49.9685482 53.0861047, 49.9677867 53.0856822, 49.9679936 53.0855477))",,,POINT (49.968170193665976 53.085827143153644),53.08582714315365,49.968170193665976
387,,"POLYGON ((49.9671148 53.0902905, 49.9672969 53.0902225, 49.9670584 53.0899922, 49.9668763 53.0900602, 49.9671148 53.0902905))",,,POINT (49.9670866 53.090141349999996),53.09014135,49.9670866
388,,"POLYGON ((49.9684053 53.0895852, 49.9685798 53.089765, 49.9687215 53.0897154, 49.9687438 53.0897385, 49.9689041 53.0896824, 49.9687929 53.0895678, 49.9686473 53.0896188, 49.9685617 53.0895305, 49.9684053 53.0895852))",,,POINT (49.96864776694774 53.0896493698759),53.0896493698759,49.96864776694774
389,,"POLYGON ((49.9673804 53.0900102, 49.9674187 53.0899969, 49.9675322 53.0899574, 49.9676299 53.0900587, 49.9674781 53.0901115, 49.9673804 53.0900102))",,,POINT (49.967505154932375 53.090034453719035),53.09003445371904,49.967505154932375
390,,"POLYGON ((49.9675283 53.0899506, 49.967703 53.0898856, 49.9675143 53.0897026, 49.9673396 53.0897676, 49.9675283 53.0899506))",,,POINT (49.967521300000016 53.08982660000001),53.08982660000001,49.967521300000016
412,,"POLYGON ((49.9772088 53.0956896, 49.9773257 53.0956474, 49.9774618 53.095783, 49.9773449 53.0958253, 49.9772088 53.0956896))",,,POINT (49.977335301873396 53.095736334024934),53.09573633402493,49.9773353018734
414,,"POLYGON ((49.9800384 53.0958576, 49.9802234 53.0957879, 49.9799331 53.0955101, 49.9797481 53.0955797, 49.9800384 53.0958576))",,,POINT (49.97998575582332 53.095683835884174),53.095683835884174,49.97998575582332
415,,"POLYGON ((49.9803262 53.0961445, 49.9804988 53.0960795, 49.9803359 53.0959259, 49.980253 53.0958477, 49.9802775 53.0958383, 49.9802239 53.0957881, 49.9800274 53.0958638, 49.9801644 53.0959925, 49.9803262 53.0961445))",,,POINT (49.98026235334771 53.09596739473235),53.09596739473235,49.98026235334771
428,,"POLYGON ((49.9815019 53.0985176, 49.9814836 53.09855, 49.9815742 53.0985684, 49.9815924 53.098536, 49.9815019 53.0985176))",,,POINT (49.981538019246486 53.09854300181265),53.09854300181265,49.981538019246486
432,,"POLYGON ((49.9803262 53.0961445, 49.9804683 53.0962806, 49.9806409 53.0962156, 49.9804988 53.0960795, 49.9803262 53.0961445))",,,POINT (49.98048354999999 53.09618005),53.09618005,49.98048354999999
433,,"POLYGON ((49.9804683 53.0962806, 49.980608 53.0964169, 49.9807828 53.0963517, 49.9806409 53.0962156, 49.9804683 53.0962806))",,,POINT (49.98062516501436 53.096316295418724),53.09631629541872,49.98062516501436
434,,"POLYGON ((49.9808031 53.0963453, 49.9805989 53.0964204, 49.9807836 53.0966014, 49.9808882 53.096704, 49.9810679 53.0966379, 49.9809635 53.0965355, 49.980843 53.0964174, 49.9808675 53.0964084, 49.9808031 53.0963453))",,,POINT (49.98083311845595 53.096524792512184),53.09652479251218,49.98083311845595
438,,"POLYGON ((49.9773435 53.0962792, 49.9773872 53.0963189, 49.9775318 53.0962613, 49.977441 53.096179, 49.9773593 53.0962115, 49.9774064 53.0962542, 49.9773435 53.0962792))",,,POINT (49.9774323635968 53.09624997429448),53.09624997429448,49.9774323635968
440,,"POLYGON ((49.9770927 53.0960777, 49.9771858 53.0960432, 49.977201 53.096058, 49.9772966 53.0960226, 49.977206 53.0959343, 49.9770173 53.0960042, 49.9770927 53.0960777))",,,POINT (49.97715785572755 53.096008488012984),53.09600848801298,49.97715785572755
441,,"POLYGON ((49.9814684 53.0972404, 49.9817699 53.097536, 49.9819227 53.0974798, 49.9818988 53.0974564, 49.9819379 53.097442, 49.9817237 53.097232, 49.9816983 53.0972414, 49.9816348 53.0971792, 49.9814684 53.0972404))",,,POINT (49.98171250732321 53.09735539266184),53.09735539266184,49.98171250732321
442,,"POLYGON ((49.981468 53.0972389, 49.9816333 53.0971781, 49.981541 53.0970875, 49.9813963 53.0969457, 49.981413 53.0969396, 49.9813711 53.0968985, 49.981189 53.0969655, 49.9813753 53.0971481, 49.981468 53.0972389))",,,POINT (49.98141076608931 53.09706953618),53.09706953618,49.98141076608931
443,,"POLYGON ((49.9811873 53.0969644, 49.9813632 53.0968997, 49.9812349 53.0967739, 49.9810591 53.0968386, 49.9811873 53.0969644))",,,POINT (49.9812111325366 53.0968691531886),53.0968691531886,49.9812111325366
444,,"POLYGON ((49.9810678 53.0966381, 49.9811531 53.0967216, 49.9811759 53.0967133, 49.9812366 53.0967728, 49.9810584 53.0968384, 49.9809124 53.0966953, 49.9810678 53.0966381))",,,POINT (49.98107068619155 53.096738759568254),53.096738759568254,49.98107068619155
450,,"POLYGON ((49.9749799 53.1002787, 49.9750139 53.1002128, 49.9759092 53.1003794, 49.9758751 53.1004453, 49.9749799 53.1002787))",,,POINT (49.975444544508434 53.10032905301697),53.10032905301697,49.975444544508434
475,,"POLYGON ((49.9577447 53.08422, 49.9579658 53.0843009, 49.9580828 53.0841855, 49.9578617 53.0841046, 49.9577447 53.08422))",,,POINT (49.957913749999996 53.084202749999996),53.08420275,49.95791375
493,,"POLYGON ((49.9648891 53.0977114, 49.9650174 53.0976633, 49.9649638 53.0976118, 49.9648355 53.0976598, 49.9648891 53.0977114))",,,POINT (49.96492643767782 53.097661583096226),53.09766158309623,49.96492643767782
494,,"POLYGON ((49.9669576 53.0970899, 49.9670724 53.0970454, 49.9670175 53.0969943, 49.9669027 53.0970388, 49.9669576 53.0970899))",,,POINT (49.96698754999999 53.0970421),53.0970421,49.96698754999999
495,,"POLYGON ((49.9615739 53.0957056, 49.9613587 53.0957883, 49.9615699 53.0959864, 49.9617851 53.0959037, 49.9615739 53.0957056))",,,POINT (49.9615719 53.095846),53.095846,49.9615719
500,,"POLYGON ((49.9232459 53.1258658, 49.9231884 53.1257856, 49.9237596 53.1256381, 49.9238171 53.1257183, 49.9232459 53.1258658))",,,POINT (49.92350274999999 53.12575195),53.12575195,49.92350274999999
502,,"POLYGON ((49.9147388 53.1254748, 49.9150316 53.1254604, 49.9150167 53.1253519, 49.914821 53.1253615, 49.9148115 53.125292, 49.9147145 53.1252968, 49.9147388 53.1254748))",,,POINT (49.91485850821767 53.12539860561155),53.12539860561155,49.91485850821767
505,Аттракционы,"POLYGON ((49.9416157 53.099245, 49.9417697 53.0992885, 49.9419135 53.0991045, 49.9417596 53.0990611, 49.9416157 53.099245))",,,POINT (49.9417646177338 53.09917479069309),53.09917479069309,49.9417646177338
506,,"POLYGON ((49.9424536 53.0999469, 49.9425894 53.0998933, 49.9424264 53.0997445, 49.9422906 53.0997981, 49.9424536 53.0999469))",,,POINT (49.942440000000005 53.099845699999996),53.0998457,49.942440000000005
507,,"POLYGON ((49.942678 53.1002002, 49.9427663 53.1001666, 49.9428673 53.1002626, 49.9427789 53.1002961, 49.942678 53.1002002))",,,POINT (49.94277263221023 53.100231371790386),53.10023137179039,49.94277263221023
