,Unnamed: 0,name,geometry,addr:street,addr:housenumber,centroid,lat,lon,address
0,6264,,"POLYGON ((49.9607474 53.1549326, 49.960805 53.1548756, 49.9610342 53.154959, 49.9609784 53.1550141, 49.9609164 53.1549916, 49.9608808 53.1550268, 49.9608208 53.155005, 49.9608546 53.1549716, 49.9607474 53.1549326))",,,POINT (49.960887259695205 53.154952501427296),53.154952501427296,49.960887259695205,"2-ya Naberezhnaya ulitsa, 10А, Novokuybyshevsk"
1,6265,,"POLYGON ((49.9604032 53.1547861, 49.96042 53.1548445, 49.9604977 53.1548364, 49.9604809 53.1547781, 49.9604032 53.1547861))",,,POINT (49.960450439728326 53.154811277865974),53.15481127786597,49.960450439728326,"2-ya Naberezhnaya ulitsa, 6А, Novokuybyshevsk"
2,6266,,"POLYGON ((49.9612332 53.1548183, 49.9612692 53.1548316, 49.9612564 53.1548441, 49.9613351 53.1548732, 49.961407 53.1548034, 49.9612923 53.1547609, 49.9612332 53.1548183))",,,POINT (49.96131777418828 53.15481622434055),53.15481622434055,49.96131777418828,"2-ya Naberezhnaya ulitsa, 6, Novokuybyshevsk"
3,6268,,"POLYGON ((49.9615123 53.1546703, 49.9615617 53.1546007, 49.9616649 53.154627, 49.9616155 53.1546966, 49.9615123 53.1546703))",,,POINT (49.96158859999999 53.154648650000006),53.154648650000006,49.96158859999999,"2-ya Naberezhnaya ulitsa, 48, Novokuybyshevsk"
4,6274,,"POLYGON ((49.9617562 53.1552088, 49.961846 53.1552084, 49.9618468 53.1552712, 49.9617569 53.1552715, 49.9617562 53.1552088))",,,POINT (49.96180148704692 53.1552399807034),53.1552399807034,49.96180148704692,"2-ya Naberezhnaya ulitsa, 10, Novokuybyshevsk"
5,6275,,"POLYGON ((49.9613023 53.1552474, 49.9613244 53.1551868, 49.9614687 53.1552057, 49.9614467 53.1552663, 49.9613023 53.1552474))",,,POINT (49.961385521304116 53.15522655301453),53.15522655301453,49.96138552130412,"2-ya Naberezhnaya ulitsa, 12, Novokuybyshevsk"
6,6278,,"POLYGON ((49.9617737 53.1555584, 49.9619232 53.1555383, 49.9619691 53.1556614, 49.961941 53.1556847, 49.9617905 53.1557049, 49.9617642 53.1556347, 49.9618004 53.1556298, 49.9617737 53.1555584))",,,POINT (49.96186504979786 53.155623627425356),53.15562362742536,49.96186504979786,"2-ya Naberezhnaya ulitsa, 14, Novokuybyshevsk"
7,6279,,"POLYGON ((49.9615566 53.1556386, 49.9615762 53.1556968, 49.9617189 53.1556796, 49.9616994 53.1556214, 49.9615566 53.1556386))",,,POINT (49.961637771536154 53.155659097019814),53.15565909701981,49.96163777153616,"2-ya Naberezhnaya ulitsa, 16, Novokuybyshevsk"
8,6280,,"POLYGON ((49.9613388 53.1556378, 49.9614888 53.1556201, 49.9615217 53.1557203, 49.9614159 53.1557327, 49.9614024 53.1556914, 49.9613581 53.1556967, 49.9613388 53.1556378))",,,POINT (49.96143622581015 53.15567408970727),53.15567408970727,49.96143622581015,"2-ya Naberezhnaya ulitsa, 18, Novokuybyshevsk"
9,6281,,"POLYGON ((49.9613054 53.1556384, 49.9613335 53.1557238, 49.9610369 53.1557589, 49.9610088 53.1556734, 49.9613054 53.1556384))",,,POINT (49.96117112240663 53.155698629050285),53.155698629050285,49.96117112240663,"2-ya Naberezhnaya ulitsa, 20, Novokuybyshevsk"
