,name,geometry,addr:street,addr:housenumber,centroid,lat,lon,address
16,,"POLYGON ((49.9715154 53.0938298, 49.9716872 53.0937664, 49.9719079 53.0939821, 49.9722748 53.0938467, 49.9720701 53.0936467, 49.9722554 53.0935783, 49.9727892 53.0940999, 49.9726114 53.0941655, 49.9724004 53.0939593, 49.9720297 53.0940961, 49.9722515 53.0943128, 49.9720759 53.0943776, 49.9715154 53.0938298))",Школьный переулок,7,POINT (49.972155279417116 53.09397166657441),53.09397166657441,49.97215527941712,Новокуйбышевск Школьный переулок 7
17,,"POLYGON ((49.9664464 53.0954368, 49.966559 53.0955399, 49.9662959 53.0956434, 49.9662694 53.0956191, 49.9661508 53.0956657, 49.966435 53.0959261, 49.9665036 53.0958991, 49.9664862 53.0958832, 49.9667821 53.0957667, 49.9668822 53.0958585, 49.9659568 53.0962227, 49.9658517 53.0961264, 49.9661586 53.0960056, 49.9661778 53.0960233, 49.9662412 53.0959983, 49.9659583 53.0957391, 49.9658354 53.0957875, 49.9658595 53.0958095, 49.9655751 53.0959214, 49.9654669 53.0958223, 49.9664464 53.0954368))",улица Дзержинского,23А,POINT (49.96618379487645 53.095830047860716),53.09583004786072,49.96618379487645,Новокуйбышевск улица Дзержинского 23А
18,,"POLYGON ((49.9649036 53.0958718, 49.9650051 53.0959669, 49.9641004 53.0963154, 49.9639989 53.0962203, 49.9649036 53.0958718))",улица Островского,16Б,POINT (49.964502 53.09609360000001),53.09609360000001,49.964502,Новокуйбышевск улица Островского 16Б
19,,"POLYGON ((49.9630078 53.0966028, 49.9632881 53.0968778, 49.9632197 53.096903, 49.963286 53.096968, 49.9628539 53.0971269, 49.9625071 53.0967868, 49.9630078 53.0966028))",улица Островского,16,POINT (49.96292122152511 53.09686327632471),53.09686327632471,49.96292122152511,Новокуйбышевск улица Островского 16
20,,"POLYGON ((49.9635236 53.1001094, 49.9639065 53.1001581, 49.9637726 53.1005377, 49.9633897 53.100489, 49.9635236 53.1001094))",проспект Победы,1Г к1,POINT (49.9636481 53.10032354999999),53.10032354999999,49.9636481,Новокуйбышевск проспект Победы 1Г к1
21,,"POLYGON ((49.9903227 53.088432, 49.9904285 53.0885332, 49.9910016 53.0883173, 49.9908958 53.088216, 49.9903227 53.088432))",проспект Победы,52,POINT (49.990662182689775 53.088374611143735),53.088374611143735,49.990662182689775,Новокуйбышевск проспект Победы 52
23,,"POLYGON ((49.9902912 53.0901175, 49.9899512 53.0897913, 49.9901042 53.0897338, 49.9901608 53.0897881, 49.9904952 53.0896625, 49.9907385 53.0898959, 49.9906492 53.0899294, 49.9905863 53.089869, 49.9904349 53.0899259, 49.9904998 53.0899882, 49.9904245 53.0900165, 49.9904626 53.0900531, 49.9902912 53.0901175))",улица Будённого,10А,POINT (49.99033741083538 53.089871694883726),53.089871694883726,49.99033741083538,Новокуйбышевск улица Будённого 10А
24,,"POLYGON ((49.9889772 53.0901982, 49.9891722 53.0901259, 49.9892101 53.0901628, 49.9892453 53.0901497, 49.989318 53.0902205, 49.9893427 53.0902113, 49.9893787 53.0902464, 49.989291 53.0902789, 49.989327 53.0903138, 49.9891925 53.0903637, 49.9891533 53.0903255, 49.989087 53.0903501, 49.9889813 53.0902472, 49.9890147 53.0902348, 49.9889772 53.0901982))",проспект Победы,43,POINT (49.98916727541342 53.09024614154895),53.09024614154895,49.98916727541342,Новокуйбышевск проспект Победы 43
25,,"POLYGON ((49.9896153 53.0905029, 49.9905427 53.0901565, 49.9904438 53.090061, 49.9895164 53.0904074, 49.9896153 53.0905029))",улица Будённого,10,POINT (49.99002955 53.09028194999999),53.09028194999999,49.99002955,Новокуйбышевск улица Будённого 10
26,,"POLYGON ((49.9911367 53.0881254, 49.9910221 53.0880142, 49.9909315 53.0879264, 49.9908395 53.0879606, 49.9908204 53.0879421, 49.9907516 53.0879676, 49.9908342 53.0880476, 49.9908086 53.0880571, 49.9908741 53.0881206, 49.9909012 53.0881105, 49.9909938 53.0882003, 49.9910674 53.0881729, 49.9910511 53.0881572, 49.9911367 53.0881254))",улица Карбышева,2,POINT (49.990945904595016 53.08805745677439),53.08805745677439,49.990945904595016,Новокуйбышевск улица Карбышева 2
