,Unnamed: 0,name,geometry,addr:street,addr:housenumber,centroid,lat,lon,address
124,3943,,"POLYGON ((49.939801 53.1172152, 49.9399101 53.117213, 49.9399152 53.1173055, 49.9398061 53.1173077, 49.939801 53.1172152))",,,POINT (49.9398581 53.117260349999995),53.11726035,49.9398581,"poselok Zheleznodorozhnik ST, 77, Novokuybyshevsk"
125,3945,,"POLYGON ((49.938359 53.1172768, 49.9384856 53.1172719, 49.9384909 53.1173217, 49.9383643 53.1173266, 49.938359 53.1172768))",,,POINT (49.93842495000001 53.11729925000001),53.11729925000001,49.93842495000001,"poselok Zheleznodorozhnik ST, 61B, Novokuybyshevsk"
126,3947,,"POLYGON ((49.9406848 53.1171899, 49.9408231 53.1171888, 49.9408242 53.1172394, 49.940686 53.1172406, 49.9406848 53.1171899))",,,POINT (49.94075450200142 53.11721467220758),53.11721467220758,49.94075450200142,"poselok Zheleznodorozhnik ST, 41, Novokuybyshevsk"
127,3948,,"POLYGON ((49.9413606 53.1167772, 49.9414767 53.1167718, 49.941483 53.1168208, 49.941367 53.1168263, 49.9413606 53.1167772))",,,POINT (49.94142180408799 53.11679902291587),53.11679902291587,49.94142180408799,"poselok Zheleznodorozhnik ST, 62A, Novokuybyshevsk"
128,3949,,"POLYGON ((49.9420061 53.1152241, 49.9420337 53.1152855, 49.9422291 53.1152538, 49.9422014 53.1151924, 49.9420061 53.1152241))",,,POINT (49.942117580108594 53.11523895179025),53.11523895179025,49.942117580108594,"Sadovaya ulitsa, 2А, Novokuybyshevsk"
129,3950,,"POLYGON ((49.9419425 53.1153948, 49.9420517 53.1157224, 49.9421592 53.1157095, 49.9420501 53.1153819, 49.9419425 53.1153948))",,,POINT (49.94205086655215 53.115552125629726),53.115552125629726,49.94205086655215,"Sadovaya ulitsa, 2С2, Novokuybyshevsk"
130,3954,,"POLYGON ((49.9583125 53.1079208, 49.9585375 53.1078865, 49.9585785 53.1079834, 49.9583536 53.1080178, 49.9583125 53.1079208))",,,POINT (49.95844550324185 53.107952126251654),53.10795212625165,49.95844550324185,"Samarskaya ulitsa, 1Б, Novokuybyshevsk"
131,3959,,"POLYGON ((49.9561684 53.1093823, 49.9562606 53.1095011, 49.9563515 53.1094756, 49.9563596 53.1094386, 49.9563295 53.1093998, 49.9563798 53.1093858, 49.9563399 53.1093343, 49.9561684 53.1093823))",,,POINT (49.956282071453465 53.10941478060132),53.10941478060132,49.956282071453465,"Pervomayskaya ulitsa, 3А, Novokuybyshevsk"
132,3970,,"POLYGON ((49.9517144 53.1145858, 49.9517388 53.1146951, 49.9518614 53.1146852, 49.951837 53.1145759, 49.9517144 53.1145858))",,,POINT (49.9517879 53.114635500000006),53.114635500000006,49.9517879,"poselok Zheleznodorozhnik Stantsiya, 20, Novokuybyshevsk"
133,3971,,"POLYGON ((49.9521707 53.1142915, 49.952346 53.114276, 49.9523571 53.1143214, 49.9521818 53.1143369, 49.9521707 53.1142915))",,,POINT (49.952263900000005 53.114306449999994),53.11430645,49.952263900000005,"Sadovo-Dachnaya ulitsa, 37А, Novokuybyshevsk"
134,3975,,"POLYGON ((49.9980732 53.0937183, 49.9981253 53.0938039, 49.998618 53.0936956, 49.9984592 53.0934349, 49.9982726 53.0934759, 49.9983793 53.0936511, 49.9980732 53.0937183))",,,POINT (49.9983777553725 53.0936353506356),53.0936353506356,49.9983777553725,"Zheleznodorozhnaya ulitsa, 78-Д, Novokuybyshevsk"
135,3976,,"POLYGON ((49.9944962 53.0956947, 49.9945411 53.0957441, 49.9946201 53.0957181, 49.9946094 53.0957063, 49.9946597 53.0956898, 49.9946255 53.0956523, 49.9944962 53.0956947))",,,POINT (49.994577487107705 53.095697582616616),53.095697582616616,49.994577487107705,"7-y pereulok, 1, Novokuybyshevsk"
136,3978,,"POLYGON ((49.9926246 53.095263, 49.9927355 53.095199, 49.9928362 53.0952618, 49.9927253 53.0953259, 49.9926246 53.095263))",,,POINT (49.99273039865976 53.095262433340935),53.095262433340935,49.99273039865976,"Zheleznodorozhnaya ulitsa, 40, Novokuybyshevsk"
