,post,date
45,"Кошелек
Цена: 1900руб.
Материал: кожа
Арт: 4635054",1702684800
46,Original: https://derpicdn.net/img/2023/12/15/3261354/large.png,1702684800
47,"Колготки
Цена: 900руб.
Арт: 1Б-77
Размеры: 98,104,116,128,140
В упаковке: 3 шт
Материал: хлопок
Производитель: турция",1702684800
48,"Свитер
Цена: 1430руб.
Размеры: 48,56,ЕДИНЫЙ
Материал: шерсть
Арт: 4637044",1702684800
49,"Модульная картина
Цена: 1650руб.
Размеры: 80х125см
Арт: 4608429",1702684800
50,"Арт.А-2Г-39
Костюм
Цена: 2320 Рубль
Размер: 134,140,146,152 рост 
в размер

Для заказа писать в ЛС.",1702684800
51,"Жилет
Цена: 2030руб.
Арт: Б-2Д-87
Размеры: 42,44,46,48
Материал: холлофайбер
Арт: 4635424",1702684800
52,"Цена: 950руб.
Размеры: 50,52,54,56,58,60
Материал: лапша
Арт: 4622368",1702684800
53,"Цена: 900руб.
Арт: 4640266",1702684800
54,"Арт а-1г-82
двойка
Размеры 56,58
Длина кофты - 75
Длина брюк - 103
Ткань трикотаж
Цена 3340  (окончательная) руб.",1702684800
55,Original: https://img3.gelbooru.com/images/71/07/71075394228bd57660b3ca2496a4820a.jpg,1702684800
56,Original: https://sun9-21.userapi.com/c909228/u237415460/d47/-3/y_a1b2ba9560.jpg,1702684800
57,"Трусы
Цена: 850руб.
Арт: 1Б-20
Размеры: 42,44,46,48
Арт: 4639382",1702684800
58,"https://vk.com/photo-184814919_478941928
АРТ:СТ6-45;Б-2Д-100
жилетка
Цена: 600 руб.
Размер: единый, подходит на 42-50
Ткань: кашемир",1702684800
59,"Цена: 640руб.
Размеры: 128,134,140,146,152
Материал: хлопок
Арт: 4639279",1702684800
60,"Пижама
Цена: 950руб.
Размеры: 92,98,104,110,116
Размерность: в размер
Арт: 4638383",1702684800
61,"Туника
Цена: 2250руб.
Арт: 2Г-38
Размеры: 42,52,ЕДИНЫЙ
Длина: 85см
Материал: хлопок
Арт: 4639895",1702684800
62,"Алмазная мозаика
Цена: 950руб.
Арт: 8-05
Размеры: 40х50см
Стразы: акриловые
Арт: 4602502",1702684800
63,"Цена: 500руб.
Арт: 1Д-01/1У
Размеры: 41-47
Материал: хлопок
Арт: 4635621",1702684800
64,"Костюм
Цена: 1500руб.
Арт: Б-2В-57
Размеры: 50,52,54,56,58,60
Доп. опция: капюшон
Материал: ангора
Размерность: в размер
Арт: 4635943",1702684800
65,"Цена: 955
АРТ:2В-08
рубашка
Размер: 42 44 46 48 50 52
Ткань: шерсть",1702684800
66,"Постельное белье
Цена: 1500руб.
Размеры: ЕВРО
Материал: сатин, хлопок
Арт: 4637106",1702684800
67,Опытные стилисты в этом приложении помогли мне подобрать новый имидж - https://vk.com/app51781225,1702684800
68,"Лосины
Цена: 750руб.
Размеры: 122,128,134,140,146,152
Производитель: турция
Арт: 4638516",1702684800
69,"Цена: 2550руб.
Арт: 2Б-35
Размеры: 44,46,48,50,52,54,56
Арт: 4605604",1702684800
70,"Колготки
Цена: 830руб.
Размеры: 86,92,98,104,116,128
В упаковке: 6 шт
Выбор цвета: разные цвета
Материал: хлопок
Начес: без начеса
Арт: 4622153",1702684800
71,"Леггинсы
Цена: 1000руб.
Арт: Б-2В-57
Размеры: 44,46,48,50,52
Начес: с начесом
Арт: 4635962",1702684800
72,Original: https://live.staticflickr.com/65535/53353776563_66f3cae830_k.jpg,1702684800
73,"швабра 
швабра с простым и эффективным механизмом отжима. одним движением лопасти швабры складываются, насадка скручивается и отжимается. увеличенная чистящая поверхность и обтекаемые формы, угол поворота 360 градусов, насадка из микрофибры, которая собирает пыль, волосы, очень быстро впитывает жидкости, не оставляет разводов, не царапает пол. всё это позволяет быстро и качественно сделать уборку. 
цена: 570 руб  
 артикул: 4913918",1702684800
74,"И я решил окунуться в сказку, правда классно? Попробуйте сами - https://vk.com/app51748213#newyear",1702684800
75,"Пальто
Цена: 3700руб.
Размеры: 42,44,46,48
Длина: 110см
Материал: кашемир",1702684800
76,"Рисование
Цена: 650руб.
Размеры: 40х50см
Доп. опция: с подрамником",1702684800
77,"Костюм тройка , 
Цена:2700₽ руб 
Спортивные тройки
Получили костюмы тройки
Отличного качества
Ткань: бамбук
Размер: черный, графитовый, коричневый и баклажановый 
S 42-44 M 46-48
Розовый и серый М-44 только остались",1702684800
78,"Дубленка
Цена: 2450руб.
Размеры: 44,46,48,50
Длина: 70см
Материал: искуственный мех, эко-кожа
Размерность: в размер
Сезон: зима
Арт: 4640705",1702684800
79,"Бюстгальтер
Цена: 600руб.
Размеры: Единый (42-48)
Материал: без паралона
Швы: без швов
Арт: 4628467",1702684800
80,"Ремень
Цена: 400руб.
Арт: Б2-4-13А
В упаковке: 10 шт
Материал: эко-кожа
Арт: 4636339",1702684800
81,Mai Shiranui.,1702684800
82,"Юбка
Цена: 1450руб.
Арт: 1Б-20
Размеры: 42,44,46,48
Материал: полиамид
Арт: 4639376",1702684800
83,"Платье
Цена: 2650руб.
Размеры: 48,50,52,54
Материал: трикотаж",1702684800
84,"Свитер
Цена: 1800руб.
Размеры: Единый (42-48)
Длина: 48см
Материал: ангора, шерсть",1702684800
85,Original: https://i.postimg.cc/hPVVt6Jv/photo-2023-12-15-22-25-07.jpg,1702684800
86,"Цена: 1200руб.
Размеры: 42,44,46,48
Длина: 125см
Материал: прадо
Арт: 4636860",1702684800
87,"Цена: 1650руб.
Размеры: 42,44,46,48
Материал: вельвет
Арт: 4635445",1702684800
88,"Толстовка
Цена: 510руб.
Арт: 1Б-77
Размеры: 98,104,110,116,122
Материал: хлопок
Арт: 4638514",1702684800
89,"Цена: 2400руб.
Размеры: 48,50,52,54
Материал: трикотаж",1702684800
90,Original: https://live.staticflickr.com/65535/53352679127_5561f457bd_k.jpg,1702684800
91,"Майка и трусы
Цена: 400руб.
Размеры: 122,128,134,140,146
Материал: хлопок
Производитель: узбекистан
Размерность: в размер
Арт: 4639315",1702684800
92,"Штаны
Цена: 590руб.
Арт: 2Б-33
Размеры: 44,46,48,50,52,54,56,58,60,62
Материал: рипстоп
Размерность: в размер
Арт: 4631619",1702684800
93,"Гирлянда
Цена: 1250руб.
Арт: 6-05
Арт: 4640695
https://vk.com/wall-173619157_40424",1702684800
94,"Костюм
Цена: 1700руб.
Арт: 27-56
Размеры: 42,44,46,48,50,52
Материал: лапша
Производитель: турция
Арт: 4636237",1702684800
95,"Лосины
Цена: 250руб.
Размеры: 152,158,164
Материал: полиамид, хлопок
Тянутся: тянется
Арт: 4640704",1702684800
96,"Костюм двойка
Цена: 1269руб.
Арт: 2Г-25
Размеры: 42,44,46,48
Материал: лапша
Арт: 4597472",1702684800
97,"Костюм
Цена: 8150руб.
Размеры: 42,44,46,48,50,52
Сезон: зима
Арт: 4596991",1702684800
98,"Шапка
Цена: 700руб.
Размеры: 10-80 лет
Материал: флис, хлопок",1702684800
99,"Блузка
Цена: 850руб.
Размеры: 42,44,46,48,50,52
Материал: прадо",1702684800
100,"Костюм
Цена: 1500руб.
Размеры: 50,52,54,56,58,60
Доп. опция: капюшон
Материал: ангора
Размерность: в размер
Арт: 4635943",1702684800
101,Original: https://sun9-22.userapi.com/impg/bYrLARz345V4KRHXeX0Wx45CpwBS3A48q-v2rw/khw3eTimx24.jpg?size=720x645&quality=96&sign=7e70273c5f82eb6ec9ec266f2556a3c8&type=album,1702684800
102,"Рубашка
Цена: 800руб.
Арт: 2Д-100
Размеры: 128,134,140,146,152
Материал: полиэстер
Арт: 4639303",1702684800
103,"Гирлянда
Цена: 350руб.
Арт: 4637333",1702684800
