,place,review,date
0,ГБОУ ООШ № 6 имени Героя Советского Союза А. В. Новикова г. Новокуйбышевска,"Учителя добрые, идут навстречу ученикам.",15 сентября
1,ГБОУ ООШ № 6 имени Героя Советского Союза А. В. Новикова г. Новокуйбышевска,"Хорошая школа, только вот Марина Алексеевна не хотела ставить 4 в году, очень жаль. Марина Николаевна очень хорошо подготавливает к экзаменам, но если честно, то я очень устала писать эти пробники каждый урок истории или общества. Спасибо за 3 по истории. Юлия Михайловна очень весёлый учитель, очень любила этот предмет, особенно на нем списывать. ОЛЬГА ВЛАДИМИРОВНА, Я ВАС ОЧЕНЬ ЛЮБЛЮ, ВЫ САМЫЙ ЛУЧШИЙ КЛАССНЫЙ РУКОВОДИТЕЛЬ, ЖЕНИТЕСЬ НА МНЕ. Оксана Ивановна прекрасный директор, спасибо за все. Но больше всего, мне понравилось как на последний звонок в спортивном зале упала штукатурка с потолка. 
В столовой кормили вкусно, КРОМЕ 2021-2022. ПОЧЕМУ НАЧАЛЬНЫМ КЛАССАМ ДАВАЛИ СОК И БУЛОЧКИ. А так все классно.",15 июля 2022
