,Unnamed: 0,name,geometry,addr:street,addr:housenumber,centroid,lat,lon,adddress
2621,10212,,"POLYGON ((60.1585378 55.1357386, 60.1586396 55.1357272, 60.1592028 55.1373708, 60.159101 55.1373822, 60.1585378 55.1357386))",,,POINT (60.158870300000004 55.1365547),55.1365547,60.1588703,"poselok Ural-2 SNT, 21, Miass, Chelyabinsk 456318, Russia"
2622,10213,,"POLYGON ((60.1585981 55.1355769, 60.1584835 55.135589, 60.1583535 55.1351873, 60.158468 55.1351752, 60.1585981 55.1355769))",,,POINT (60.15847578439081 55.135382128231086),55.135382128231086,60.15847578439081,"poselok Ural-2 SNT, 30, Miass, Chelyabinsk 456318, Russia"
2623,10214,,"POLYGON ((60.1585954 55.1362047, 60.1584972 55.1362159, 60.1586742 55.1367249, 60.1587725 55.1367138, 60.1585954 55.1362047))",,,POINT (60.15863483614501 55.136464851894644),55.13646485189464,60.15863483614501,"ulitsa Vernadskogo, 19, Miass, Chelyabinsk 456318, Russia"
2624,10215,,"POLYGON ((60.1584613 55.1357831, 60.1583636 55.135794, 60.1582496 55.1354582, 60.1583473 55.1354473, 60.1584613 55.1357831))",,,POINT (60.158355449999995 55.135620649999986),55.13562064999999,60.15835545,"ulitsa Vernadskogo, 21, Miass, Chelyabinsk 456318, Russia"
2625,10216,,"POLYGON ((60.159903 55.1401571, 60.1597958 55.1401611, 60.1597732 55.1400226, 60.1598802 55.1400169, 60.159903 55.1401571))",,,POINT (60.15983815731022 55.140089411799366),55.140089411799366,60.15983815731022,"ulitsa Vernadskogo, 11, Miass, Chelyabinsk 456318, Russia"
2626,10217,,"POLYGON ((60.1597958 55.1401611, 60.159903 55.1401571, 60.1599687 55.1405612, 60.1598617 55.1405669, 60.1597958 55.1401611))",,,POINT (60.15988226648237 55.14036160053746),55.14036160053746,60.15988226648237,"ulitsa Vernadskogo, 7, Miass, Chelyabinsk 456318, Russia"
2627,10218,,"POLYGON ((60.1596854 55.1402078, 60.1595774 55.1402141, 60.1595675 55.1401583, 60.1596754 55.140152, 60.1596854 55.1402078))",,,POINT (60.15962642669136 55.14018305420883),55.14018305420883,60.15962642669136,"ulitsa Vernadskogo, 11, Miass, Chelyabinsk 456318, Russia"
2628,10219,,"POLYGON ((60.1597501 55.1405734, 60.1596411 55.1405797, 60.1595774 55.1402141, 60.1596854 55.1402078, 60.1597501 55.1405734))",,,POINT (60.159663550232565 55.14039402788205),55.14039402788205,60.159663550232565,"ulitsa Vernadskogo, 11, Miass, Chelyabinsk 456318, Russia"
2629,10220,,"POLYGON ((60.1608217 55.1446128, 60.1608627 55.1446104, 60.1608559 55.144574, 60.160815 55.1445764, 60.1608217 55.1446128))",,,POINT (60.160838826902406 55.1445934072959),55.1445934072959,60.160838826902406,"ulitsa Il'men-Tau, 22/1, Miass, Chelyabinsk 456320, Russia"
2630,10221,ГЛЦ,"POLYGON ((60.1607707 55.1446193, 60.1608107 55.1446169, 60.1607986 55.1445533, 60.1607586 55.1445557, 60.1607707 55.1446193))",,,POINT (60.16078465000001 55.14458629999999),55.14458629999999,60.16078465000001,"ulitsa Il'men-Tau, 22/1, Miass, Chelyabinsk 456320, Russia"
2631,10222,,"POLYGON ((60.154501 55.1414296, 60.1544465 55.1413952, 60.1545201 55.1413571, 60.1545746 55.1413915, 60.154501 55.1414296))",,,POINT (60.15451055 55.14139335000001),55.14139335000001,60.15451055,"ulitsa Il'men-Tau, 12/1, Miass, Chelyabinsk 456318, Russia"
2632,10223,,"POLYGON ((60.1565697 55.1544789, 60.1565528 55.1544434, 60.1566279 55.1544317, 60.1566205 55.1544161, 60.1566761 55.1544074, 60.1567005 55.1544586, 60.1565697 55.1544789))",,,POINT (60.15663065425538 55.15444603048297),55.15444603048297,60.15663065425538,"prospekt Makeyeva, 32A, Miass, Chelyabinsk 456320, Russia"
2633,10224,,"POLYGON ((60.1570411 55.1545149, 60.1571416 55.1545053, 60.1571236 55.1544437, 60.1570414 55.1544015, 60.1570089 55.1544046, 60.1570411 55.1545149))",,,POINT (60.15707239774535 55.15446224890675),55.15446224890675,60.15707239774535,"prospekt Makeyeva, 32Б, Miass, Chelyabinsk 456320, Russia"
2634,10225,,"POLYGON ((60.1498273 55.136703, 60.1498721 55.1367258, 60.149915 55.1366982, 60.1498702 55.1366754, 60.1498273 55.136703))",,,POINT (60.149871149999996 55.1367006),55.1367006,60.14987115,"prospekt Oktyabrya, 48, Miass, Chelyabinsk 456318, Russia"
2635,10226,,"POLYGON ((60.1501565 55.1357003, 60.1501167 55.1357228, 60.1501885 55.1357644, 60.1502283 55.1357419, 60.1501565 55.1357003))",,,POINT (60.1501725 55.13573234999999),55.13573234999999,60.1501725,"prospekt Oktyabrya, 64B/1, Miass, Chelyabinsk 456318, Russia"
2636,10227,,"POLYGON ((60.1518966 55.1354512, 60.1518953 55.1354148, 60.1517699 55.1354163, 60.1517712 55.1354527, 60.1518966 55.1354512))",,,POINT (60.15183325000001 55.135433750000004),55.13543375,60.15183325000001,"ulitsa Zhukovskogo, 2B, Miass, Chelyabinsk 456318, Russia"
2637,10228,,"POLYGON ((60.1520106 55.1353787, 60.1520012 55.1352833, 60.1519272 55.1352856, 60.1519366 55.1353811, 60.1520106 55.1353787))",,,POINT (60.151968893663444 55.13533217625979),55.13533217625979,60.15196889366344,"ulitsa Zhukovskogo, 2V, Miass, Chelyabinsk 456318, Russia"
2638,10229,,"POLYGON ((60.1519658 55.135018, 60.1518661 55.1350223, 60.151878 55.1351132, 60.1519777 55.1351089, 60.1519658 55.135018))",,,POINT (60.1519219 55.135065600000004),55.1350656,60.1519219,"ulitsa Zhukovskogo, 2А, Miass, Chelyabinsk 456318, Russia"
